time_s,received_power_w,harvested_power_w,v_cap,boost_state,capacitor_energy_j,net_capacitor_power_w,received_power_ap_w,received_power_mobile_w
46.601,1e-06,4.5e-07,0.6773334083487793,0,0.0002293902730326871,2.5e-07,0.0,0.0
46.602000000000004,0.00017641062230785255,7.938478003853365e-05,0.6773337774431261,0,0.0002293905230326871,7.918478003853365e-05,0.00017541062230785255,0.0
46.603,1e-06,4.5e-07,0.6774506739427242,0,0.00022946970781272563,2.5e-07,0.0,0.0
46.604,1e-06,4.5e-07,0.6774510429731814,0,0.00022946995781272564,2.5e-07,0.0,0.0
46.605000000000004,1e-06,4.5e-07,0.6774514120034375,0,0.00022947020781272564,2.5e-07,0.0,0.0
46.606,1e-06,4.5e-07,0.6774517810334927,0,0.00022947045781272565,2.5e-07,0.0,0.0
46.607,1e-06,4.5e-07,0.6774521500633467,0,0.00022947070781272565,2.5e-07,0.0,0.0
46.608000000000004,0.00013158832817653375,5.921474767944019e-05,0.6774525190929999,0,0.00022947095781272565,5.901474767944019e-05,0.00013058832817653375,0.0
46.609,1e-06,4.5e-07,0.6775396262365841,0,0.00022952997256040509,2.5e-07,0.0,0.0
46.61,1e-06,4.5e-07,0.6775399952185924,0,0.0002295302225604051,2.5e-07,0.0,0.0
46.611000000000004,1e-06,4.5e-07,0.6775403642003996,0,0.0002295304725604051,2.5e-07,0.0,0.0
46.612,1e-06,4.5e-07,0.6775407331820059,0,0.0002295307225604051,2.5e-07,0.0,0.0
46.613,1e-06,4.5e-07,0.6775411021634113,0,0.0002295309725604051,2.5e-07,0.0,0.0
46.614000000000004,1e-06,4.5e-07,0.6775414711446157,0,0.0002295312225604051,2.5e-07,0.0,0.0
46.615,1e-06,4.5e-07,0.6775418401256192,0,0.0002295314725604051,2.5e-07,0.0,0.0
46.616,1e-06,4.5e-07,0.6775422091064218,0,0.0002295317225604051,2.5e-07,0.0,0.0
46.617000000000004,1e-06,4.5e-07,0.6775425780870235,0,0.00022953197256040512,2.5e-07,0.0,0.0
